IATA,LAT,LON,CITY,STATE,AIRPT_NAME,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
ATL,33.63672,-84.428066,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTERNATIONAL AIRPORT,324512,116597,110513,97409,104050,126895,97801,76793,108195,79887,89017
ORD,41.980917,-87.906667,CHICAGO,IL,CHICAGO O'HARE INTERNATIONAL AIRPORT,318014,145369,134588,127103,149038,181291,126596,98490,122597,101531,74462
DFW,32.896828,-97.037996,DALLAS-FORT WORTH,TX,DALLAS/FORT WORTH INTERNATIONAL AIRPORT,249163,74089,61135,56734,57099,69856,47706,44655,56069,44289,57128
DEN,39.861656,-104.673177,DENVER,CO,DENVER INTERNATIONAL AIRPORT,220007,141325,136143,125648,131261,160484,107876,80570,97612,76126,60251
LAX,33.942522,-118.407161,LOS ANGELES,CA,LOS ANGELES INTERNATIONAL AIRPORT,208334,78955,72606,62874,70244,87178,60296,55762,64801,57092,50971
CLT,35.213741,-80.949069,CHARLOTTE,NC,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,199895,84129,82376,79924,89475,121956,85628,65736,88282,69536,46813
IAH,29.984434,-95.341442,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON AIRPORT,161773,88338,76353,59887,57557,87702,71729,61676,77076,64815,51823
PHX,33.434278,-112.011583,PHOENIX,AZ,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,152915,70523,67115,65062,71491,96859,69345,61583,81208,61485,53162
MSP,44.881957,-93.221766,MINNEAPOLIS,MN,MINNEAPOLIS-ST PAUL INTERNATIONAL/WOLD-CHAMBERLAIN AIRPORT,148879,103675,102662,99490,101328,121407,89979,70325,103587,85078,59728
DTW,42.212444,-83.353389,DETROIT,MI,DETROIT METROPOLITAN WAYNE COUNTY AIRPORT,148843,98703,107884,108250,111036,125340,86132,64070,92620,74483,53671
PHL,39.872249,-75.240866,PHILADELPHIA,PA,PHILADELPHIA INTERNATIONAL AIRPORT,148401,74753,75564,81206,90143,119141,85051,69159,87980,78847,53952
LGA,40.77725,-73.872611,NEW YORK,NY,LA GUARDIA AIRPORT,135044,52304,45146,39534,40975,51076,40983,36071,44393,35484,25016
LAS,36.080056,-115.15225,LAS VEGAS,NV,MC CARRAN INTERNATIONAL AIRPORT,130845,61722,57298,48279,48590,69964,54453,56624,66836,60051,49999
BOS,42.362972,-71.006417,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL AIRPORT,126125,47523,41865,35653,42151,61043,46244,40057,47727,36235,27456
EWR,40.6925,-74.168667,NEWARK,NJ,NEWARK LIBERTY INTERNATIONAL AIRPORT,120514,66467,60144,52414,53702,68548,57702,46707,61222,56690,44617
DCA,38.852083,-77.037722,WASHINGTON,VA,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,110859,56759,53718,47083,47547,58076,46307,37602,51059,37797,30715
JFK,40.639751,-73.778926,NEW YORK,NY,JOHN F KENNEDY INTERNATIONAL AIRPORT,104042,49055,47826,45290,53282,63732,49823,44211,44111,31606,28431
MCO,28.429394,-81.308993,ORLANDO,FL,ORLANDO INTERNATIONAL AIRPORT,100797,58996,56106,54593,58438,68185,51173,47150,63951,50831,41014
BWI,39.175361,-76.668333,BALTIMORE,MD,BALTIMORE/WASHINGTON INTERNATIONAL THURGOOD MARSHAL AIRPORT,85118,48794,46138,38256,40476,52577,36711,28045,39349,30904,22119
IAD,38.947444,-77.459944,WASHINGTON,VA,WASHINGTON DULLES INTERNATIONAL AIRPORT,84646,61819,54093,53461,59640,70856,48711,39173,44597,38610,27087
MDW,41.785972,-87.752417,CHICAGO,IL,CHICAGO MIDWAY INTERNATIONAL AIRPORT,74861,27096,20412,17999,20232,26931,13752,13995,21164,15616,12210
PDX,45.58853,-122.597481,PORTLAND,OR,PORTLAND INTERNATIONAL AIRPORT,73740,37627,35319,32719,34567,43378,34325,31085,37834,33259,26986
MIA,25.795365,-80.290116,MIAMI,FL,MIAMI INTERNATIONAL AIRPORT,73564,26306,22461,23804,24171,33157,24678,23368,29333,26901,23997
MEM,35.042417,-89.976667,MEMPHIS,TN,MEMPHIS INTERNATIONAL AIRPORT,72024,81248,89709,93996,97205,101610,86382,79609,100231,91327,61302
SAN,32.733556,-117.189667,SAN DIEGO,CA,SAN DIEGO INTERNATIONAL AIRPORT,69695,32293,28571,23582,24823,33173,25604,19138,23886,20638,17004
FLL,26.072583,-80.15275,FORT LAUDERDALE,FL,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT,66886,42987,39958,33413,33897,39869,36075,29077,36780,33919,21381
HNL,21.318681,-157.922429,HONOLULU,HI,HONOLULU INTERNATIONAL AIRPORT,62632,20182,18428,15751,16914,19457,16815,23127,25181,22630,21838
ANC,61.174361,-149.996361,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT,58022,58273,58750,59510,60564,58948,64191,67894,70002,66480,50715
BNA,36.124472,-86.678194,NASHVILLE,TN,NAVAL AIR STATIONHVILLE INTERNATIONAL AIRPORT,53834,35145,32458,30462,32971,39943,29501,22653,32157,30053,23523
IND,39.717299,-86.294661,INDIANAPOLIS,IN,INDIANAPOLIS INTERNATIONAL AIRPORT,50728,36404,35785,37285,40263,49561,45959,35948,44143,43167,34444
RDU,35.877639,-78.787472,RALEIGH/DURHAM,NC,RALEIGH-DURHAM INTERNATIONAL AIRPORT,50044,25297,25948,26721,28811,34135,28080,22993,28352,24859,17674
HOU,29.645419,-95.278889,HOUSTON,TX,WILLIAM P HOBBY AIRPORT,49428,25788,21070,17268,17645,25932,14481,10125,16470,11176,7057
MCI,39.297605,-94.713906,KANSAS CITY,MO,KANSAS CITY INTERNATIONAL AIRPORT,49186,30068,29337,33972,32039,39140,37084,25747,34349,28800,19347
CLE,41.409417,-81.85498,CLEVELAND,OH,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,48283,46997,40315,38590,43036,56179,48205,34659,44330,41745,30561
CVG,39.048837,-84.667822,COVINGTON,KY,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,45979,33881,42464,50716,57014,69333,81926,75775,102059,152448,126989
OAK,37.721278,-122.220722,OAKLAND,CA,METROPOLITAN OAKLAND INTERNATIONAL AIRPORT,45738,20775,21781,19401,22459,25396,24920,23649,29136,25101,23090
AUS,30.194528,-97.669889,AUSTIN,TX,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,44693,28855,26955,25963,26386,29333,25663,19999,22224,20135,14333
PIT,40.491472,-80.232861,PITTSBURGH,PA,PITTSBURGH INTERNATIONAL AIRPORT,43609,29839,27043,26191,30177,39185,30717,28286,42658,38530,45921
MSY,29.993389,-90.258028,NEW ORLEANS,LA,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL AIRPORT,40977,22686,20791,21050,22412,25262,19395,15545,18931,16441,16314
DAL,32.847111,-96.851778,DALLAS,TX,DALLAS LOVE FIELD AIRPORT,38632,9768,8472,6654,5893,9885,7174,4928,9134,5543,5326
CMH,39.997972,-82.891889,COLUMBUS,OH,PORT COLUMBUS INTERNATIONAL AIRPORT,37619,21536,21920,23286,25940,28140,25152,24088,27349,21278,14951
SAT,29.533694,-98.469778,SAN ANTONIO,TX,SAN ANTONIO INTERNATIONAL AIRPORT,36415,22388,20023,19865,21857,26322,23331,16821,24503,16666,11464
MKE,42.947211,-87.89673,MILWAUKEE,WI,GENERAL MITCHELL INTERNATIONAL AIRPORT,34963,23616,25049,33091,31567,32971,23341,15272,24687,24577,16887
BET,60.778557,-161.837177,BETHEL,AK,BETHEL AIRPORT,33865,39128,41734,42798,40077,37515,37718,38119,35791,40597,39014
OGG,20.89865,-156.43046,KAHULUI,HI,KAHULUI AIRPORT,32257,9346,10038,8643,8758,11218,9760,12347,12597,11777,10260
BDL,41.938889,-72.683222,WINDSOR LOCKS,CT,BRADLEY INTERNATIONAL AIRPORT,28720,21338,19208,19695,20004,24644,23559,20585,25111,20699,14790
JAX,30.494056,-81.687861,JACKSONVILLE,FL,JACKSONVILLE INTERNATIONAL AIRPORT,26534,13825,13965,16617,15807,22021,20221,16874,20636,17583,11982
ABQ,35.040194,-106.609194,ALBUQUERQUE,NM,ALBUQUERQUE INTERNATIONAL SUNPORT AIRPORT,26522,17755,20851,20543,21478,26653,22787,17303,23618,17520,14005
BUF,42.940525,-78.732167,BUFFALO,NY,BUFFALO NIAGARA INTERNATIONAL AIRPORT,26289,15769,15563,15207,17600,20681,17183,13985,15088,14299,13185
RSW,26.536167,-81.755167,FORT MYERS,FL,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,26216,18442,17620,17644,19205,22961,17842,17222,20548,16683,10779
ONT,34.056,-117.601194,ONTARIO,CA,ONTARIO INTERNATIONAL AIRPORT,24422,15595,15815,14905,16010,17281,18606,15659,15973,14362,14539
RIC,37.505167,-77.319667,RICHMOND,VA,RICHMOND INTERNATIONAL AIRPORT,23301,11142,9406,10432,12139,17421,14848,11558,13471,11685,9492
OMA,41.303167,-95.894056,OMAHA,NE,EPPLEY AIRFIELD,22389,15283,17743,18267,17179,19513,17057,11168,17817,16102,10506
OKC,35.393088,-97.600734,OKLAHOMA CITY,OK,WILL ROGERS WORLD AIRPORT,21626,16847,16054,14228,16254,16951,16869,12757,15018,12040,8022
PBI,26.683161,-80.095589,WEST PALM BEACH,FL,PALM BEACH INTERNATIONAL AIRPORT,20360,10573,10061,10566,11819,16084,14561,11087,13008,9453,8993
BUR,34.200667,-118.358667,BURBANK,CA,BOB HOPE AIRPORT,20338,4770,5266,4860,5745,5068,6020,4730,5229,4454,5417
ORF,36.894611,-76.201222,NORFOLK,VA,NORFOLK INTERNATIONAL AIRPORT,20041,14366,13787,14628,16470,19128,13053,10652,15622,13781,9464
ACK,41.253111,-70.060306,NANTUCKET,MA,NANTUCKET MEMORIAL AIRPORT,19840,5732,3168,2707,1507,1968,1954,1433,1640,1388,989
CHS,32.898639,-80.040528,CHARLESTON,SC,CHARLESTON AIR FORCE BASE/INTERNATIONAL AIRPORT,18341,10497,9262,8388,8535,10531,7632,6047,6525,6925,5656
FAI,64.81511,-147.856448,FAIRBANKS,AK,FAIRBANKS INTERNATIONAL AIRPORT,17837,18325,17299,18353,18005,18617,19339,18347,19605,20462,16247
PVD,41.723999,-71.428221,PROVIDENCE,RI,THEODORE FRANCIS GREEN STATE AIRPORT,17318,10488,9141,11195,14696,15073,13514,13126,14111,12624,9849
GEG,47.619861,-117.533833,SPOKANE,WA,SPOKANE INTERNATIONAL AIRPORT,17281,12308,13215,13784,14173,15940,13530,11349,14398,12060,10568
RNO,39.499111,-119.768111,RENO,NV,RENO/TAHOE INTERNATIONAL AIRPORT,17109,9257,9141,10840,11768,14362,13878,11781,12595,9952,8655
ELP,31.80725,-106.377556,EL PASO,TX,EL PASO INTERNATIONAL AIRPORT,16937,10910,10871,9120,9921,13673,10151,9212,12265,8109,8059
JNU,58.354972,-134.576278,JUNEAU,AK,JUNEAU INTERNATIONAL AIRPORT,16808,14983,15640,16768,16178,11669,11903,13103,14112,15351,13086
ROC,43.118861,-77.672389,ROCHESTER,NY,GREATER ROCHESTER INTERNATIONAL AIRPORT,16580,12508,11572,10869,13130,15619,13492,10018,14098,15208,11789
ALB,42.749111,-73.801972,ALBANY,NY,ALBANY INTERNATIONAL AIRPORT,16470,11755,9943,10374,14665,16037,12024,10553,13363,11409,7819
BOI,43.564361,-116.222861,BOISE,ID,BOISE AIR TERMINAL,16412,10555,11413,12747,13993,17065,14855,10510,16203,11034,7224
KOA,19.738766,-156.04563,KAILUA/KONA,HI,KONA INTERNATIONAL AT KEAHOLE AIRPORT,16261,4710,4632,5236,4505,5703,6314,6594,6889,5573,4961
DAY,39.902251,-84.21941,DAYTON,OH,JAMES M COX DAYTON INTERNATIONAL AIRPORT,16141,6502,7946,9149,11683,14350,9379,8152,12184,12253,12551
GRR,42.880833,-85.522806,GRAND RAPIDS,MI,GERALD R. FORD INTERNATIONAL AIRPORT,15985,14430,13036,14345,13880,13537,12250,9474,12301,10576,9128
BHM,33.563889,-86.752306,BIRMINGHAM,AL,BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL AIRPORT,15847,10156,13766,13116,14337,17357,17095,11548,14889,15623,11631
DSM,41.533972,-93.663083,DES MOINES,IA,DES MOINES INTERNATIONAL AIRPORT,15564,11065,10452,11572,12420,14847,12599,10386,12646,11405,9735
GSO,36.101326,-79.941123,GREENSBORO,NC,PIEDMONT TRIAD INTERNATIONAL AIRPORT,15525,10194,10777,12059,11328,11729,12392,11919,13139,13783,12642
GSP,34.895667,-82.218861,GREER,SC,GREENVILLE SPARTANBURG INTERNATIONAL AIRPORT,13634,11424,10398,8886,7571,9910,8589,6364,9886,9301,7783
LIT,34.729444,-92.224306,LITTLE ROCK,AR,ADAMS FIELD AIRPORT,13251,7665,7526,6931,8519,8979,8431,7858,10929,9428,7437
HYA,41.669333,-70.280361,HYANNIS,MA,BARNSTABLE MUNICIPAL-BOARDMAN/POLANDO FIELD,13126,4074,982,1626,652,704,515,714,1020,604,562
MSN,43.139858,-89.337514,MADISON,WI,DANE COUNTY REGIONAL-TRUAX FIELD,12744,11399,9486,8547,8606,10996,9044,6957,9925,7168,5065
LIH,21.975983,-159.338958,LIHUE,HI,LIHUE AIRPORT,12636,4791,5536,3944,3603,3941,4228,4589,3476,3061,2399
HPN,41.066944,-73.707556,WHITE PLAINS,NY,WESTCHESTER COUNTY AIRPORT,12529,5881,5706,5565,6654,8761,5933,4021,4125,4306,2817
SAV,32.127583,-81.202139,SAVANNAH,GA,SAVANNAH/HILTON HEAD INTERNATIONAL AIRPORT,12114,5086,5290,5292,7025,9384,6275,5969,5839,5496,4732
MHT,42.932804,-71.435739,MANCHESTER,NH,MANCHESTER AIRPORT,12031,10435,8473,8053,8452,11666,11224,7936,12613,11357,10783
LGB,33.817722,-118.151611,LONG BEACH,CA,LONG BEACH /DAUGHERTY FIELD/ AIRPORT,11298,4951,4344,4418,5474,10690,4509,2086,2594,2845,2743
ICT,37.649944,-97.433056,WICHITA,KS,WICHITA MID-CONTINENT AIRPORT,11295,6281,5067,5736,5900,7152,6485,5484,4877,6345,6066
PWM,43.646167,-70.309278,PORTLAND,ME,PORTLAND INTERNATIONAL AIRPORT,11227,6522,6031,6472,7282,9092,6991,5990,7712,7201,4960
FAT,36.776194,-119.718139,FRESNO,CA,FRESNO YOSEMITE INTERNATIONAL AIRPORT,11066,4473,3839,3776,4009,5553,3699,3377,3188,2792,2275
MDT,40.193495,-76.763404,HARRISBURG,PA,HARRISBURG INTERNATIONAL AIRPORT,11000,6687,7225,7204,6374,7699,7439,6793,7641,7452,7724
CAE,33.938833,-81.119528,COLUMBIA,SC,COLUMBIA METROPOLITAN AIRPORT,10595,6138,6608,6821,6278,8915,9767,7228,10243,9598,8425
PSP,33.829667,-116.506694,PALM SPRINGS,CA,PALM SPRINGS INTERNATIONAL AIRPORT,10425,5044,4759,4040,4725,5220,3764,3842,5002,2657,2727
OTZ,66.884694,-162.5985,KOTZEBUE,AK,RALPH WIEN MEMORIAL AIRPORT,10248,12333,13056,12495,13210,13147,14287,14888,14873,14471,16009
CID,41.884689,-91.710799,CEDAR RAPIDS,IA,THE EASTERN IOWA AIRPORT,10090,5289,6486,6225,5686,7483,7298,5052,5782,5040,3317
LEX,38.0365,-84.605889,LEXINGTON,KY,BLUE GRASS AIRPORT,9900,5257,5432,6427,7008,5970,7366,5546,7283,6938,5654
COS,38.805806,-104.700778,COLORADO SPRINGS,CO,CITY OF COLORADO SPRINGS MUNICIPAL AIRPORT,9329,5481,4990,4790,4076,4798,4795,4175,5659,5029,4742
BIL,45.807667,-108.542889,BILLINGS,MT,BILLINGS LOGAN INTERNATIONAL AIRPORT,9192,6448,6562,6231,6021,7068,4531,5608,8256,7063,4840
CAK,40.916083,-81.442194,AKRON,OH,AKRON-CANTON REGIONAL AIRPORT,9120,4983,4434,5040,5481,5857,3762,4505,5729,5780,6406
BTV,44.471861,-73.153278,BURLINGTON,VT,BURLINGTON INTERNATIONAL AIRPORT,9119,4796,4900,4741,7002,6284,5642,4838,5921,4710,4571
PNS,30.473426,-87.186612,PENSACOLA,FL,PENSACOLA REGIONAL AIRPORT,8999,2901,3387,2227,2294,3875,4188,3367,4308,3803,2480
OME,64.512202,-165.445246,NOME,AK,NOME AIRPORT,8735,10148,10378,10164,10568,10896,11344,12311,12797,12938,13836
FSD,43.582013,-96.741914,SIOUX FALLS,SD,JOE FOSS FIELD AIRPORT,8653,6872,6257,6227,6216,8252,6820,6338,6899,6688,4118
MAF,31.942528,-102.201914,MIDLAND,TX,MIDLAND INTERNATIONAL AIRPORT,8630,3746,3416,3167,2516,3344,3672,3924,3927,3629,3004
MYR,33.67975,-78.928333,MYRTLE BEACH,SC,MYRTLE BEACH INTERNATIONAL AIRPORT,8609,6463,5500,6555,6739,7876,5981,4394,5733,5737,5067
HSV,34.637194,-86.775056,HUNTSVILLE,AL,HUNTSVILLE INTERNATIONAL AIRPORT-CARL T JONES FIELD,8456,7445,7095,7487,8136,8858,7568,5135,6745,6503,8109
ENA,60.573307,-151.244778,KENAI,AK,KENAI MUNICIPAL AIRPORT,8289,9813,9646,9143,9019,8738,8578,8603,8766,7246,1925
JAN,32.311167,-90.075889,JACKSON,MS,JACKSON-EVERS INTERNATIONAL AIRPORT,8288,4907,5226,4363,5067,5676,4709,4648,6575,5733,4496
LBB,33.663639,-101.822778,LUBBOCK,TX,LUBBOCK PRESTON SMITH INTERNATIONAL AIRPORT,7896,4485,4495,4133,4634,6079,5150,4166,5284,4828,4926
SBA,34.426194,-119.8415,SANTA BARBARA,CA,SANTA BARBARA MUNICIPAL AIRPORT,7876,2400,2366,2770,3301,4748,3982,3356,2975,2367,1680
EYW,24.556111,-81.759556,KEY WEST,FL,KEY WEST INTERNATIONAL AIRPORT,7753,4131,2859,1581,1048,904,3296,1635,3080,2011,1886
ADQ,57.749968,-152.493855,KODIAK,AK,KODIAK AIRPORT,7734,8594,9409,9965,9478,9687,9703,9187,10190,8443,2580
EUG,44.124583,-123.211972,EUGENE,OR,MAHLON SWEET FIELD AIRPORT,7689,3519,3330,3322,3414,4291,3682,3219,3339,2495,1717
BTR,30.532906,-91.149877,BATON ROUGE,LA,"BATON ROUGE METROPOLITAN, RYAN FIELD",7655,1787,1302,1216,1434,1622,2932,3662,4518,2903,1662
MKK,21.152886,-157.096256,KAUNAKAKAI,HI,MOLOKAI AIRPORT,7284,1149,2017,2437,1968,1870,531,468,419,284,537
GCN,35.952361,-112.146972,GRAND CANYON,AZ,GRAND CANYON NATIONAL PARK AIRPORT,7241,8725,7893,7741,7454,7089,1247,660,977,711,975
ITO,19.720263,-155.04847,HILO,HI,HILO INTERNATIONAL AIRPORT,6838,1575,1529,994,672,1520,1780,3220,2969,2194,1687
ROA,37.325472,-79.975417,ROANOKE,VA,ROANOKE REGIONAL/WOODRUM FIELD AIRPORT,6787,3897,4378,4590,4423,6062,4182,3922,5793,4874,3672
KTN,55.354075,-131.711219,KETCHIKAN,AK,KETCHIKAN INTERNATIONAL AIRPORT,6364,5419,5354,5506,5547,5571,6154,6059,5281,6002,6225
PIA,40.664201,-89.693258,PEORIA,IL,GREATER PEORIA REGIONAL AIRPORT,6273,3578,3181,2684,3979,4232,2362,2143,1788,2098,1824
MLI,41.448286,-90.50752,MOLINE,IL,QUAD CITY INTERNATIONAL AIRPORT,6225,5454,4277,4988,5477,5632,3922,2442,3159,2887,2456
FWA,40.978472,-85.195167,FORT WAYNE,IN,FORT WAYNE INTERNATIONAL AIRPORT,6167,3244,2915,3434,3622,4960,3199,5096,7009,6760,6925
CHA,35.035194,-85.203556,CHATTANOOGA,TN,LOVELL FIELD AIRPORT,6091,3990,3465,3302,3770,4521,4465,3515,5442,5240,3164
FAR,46.92065,-96.815764,FARGO,ND,HECTOR INTERNATIONAL AIRPORT,6081,3328,3399,3053,3499,3553,2572,1902,2605,2823,1451
AMA,35.219361,-101.705917,AMARILLO,TX,RICK HUSBAND AMARILLO INTERNATIONAL AIRPORT,6053,3063,2288,1941,1741,2848,2422,2064,2702,1858,1655
