IATA,LAT,LON,CITY,STATE,AIRPT_NAME,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
MKG,43.167672,-86.235439,MUSKEGON,MI,MUSKEGON COUNTY AIRPORT,573,177,61,7,61,242,495,354,360,384,559
ORH,42.267339,-71.875709,WORCESTER,MA,WORCESTER REGIONAL AIRPORT,570,99,123,423,332,284,51,14,153,30,23
EAU,44.865805,-91.484255,EAU CLAIRE,WI,CHIPPEWA VALLEY REGIONAL AIRPORT,570,188,86,144,509,811,287,431,600,375,249
DDC,37.763122,-99.965424,DODGE CITY,KS,DODGE CITY REGIONAL AIRPORT,569,441,597,1263,1006,1313,1573,1108,2049,1931,355
MCN,32.69285,-83.649211,MACON,GA,MIDDLE GEORGIA REGIONAL AIRPORT,559,532,67,55,56,368,808,542,388,297,403
PAH,37.060288,-88.772958,PADUCAH,KY,BARKLEY REGIONAL AIRPORT,558,289,7,62,232,313,10,15,318,109,7
HVR,48.542972,-109.762333,HAVRE,MT,HAVRE CITY-COUNTY AIRPORT,556,527,601,559,519,444,114,87,589,545,154
ALW,46.094778,-118.289,WALLA WALLA,WA,WALLA WALLA REGIONAL AIRPORT,555,647,468,109,656,1003,89,84,304,8,220
KYU,64.875806,-157.730444,KOYUKUK,AK,KOYUKUK AIRPORT,551,633,717,1050,1154,994,945,873,1030,988,883
ARC,68.114669,-145.579415,ARCTIC VILLAGE,AK,ARCTIC VILLAGE AIRPORT,549,697,680,719,686,674,730,678,676,745,748
ART,43.991922,-76.021739,WATERTOWN,NY,WATERTOWN INTERNATIONAL AIRPORT,544,602,604,123,1,73,82,563,906,408,271
MYU,60.37142,-166.270608,MEKORYUK,AK,MEKORYUK AIRPORT,543,676,816,952,1101,1086,1217,1266,972,1150,1214
LWB,37.858306,-80.399472,LEWISBURG,WV,GREENBRIER VALLEY AIRPORT,543,657,684,798,885,701,539,998,1139,1194,1154
BKW,37.787326,-81.124164,BECKLEY,WV,RALEIGH COUNTY MEMORIAL AIRPORT,537,581,484,593,570,738,987,498,1141,801,726
INL,48.565583,-93.402167,INTERNATIONAL FALLS,MN,FALLS INTERNATIONAL AIRPORT,537,659,477,263,84,636,707,547,1003,637,778
ALO,42.557081,-92.400344,WATERLOO,IA,WATERLOO REGIONAL AIRPORT,532,675,479,756,207,720,298,291,354,396,141
LBL,37.044222,-100.959861,LIBERAL,KS,LIBERAL MID-AMERICA REGIONAL AIRPORT,530,1127,1063,293,151,822,894,531,696,746,333
HON,44.385194,-98.228556,HURON,SD,HURON REGIONAL AIRPORT,526,774,736,607,592,589,611,579,696,508,20
GUC,38.533944,-106.933028,GUNNISON,CO,GUNNISON-CRESTED BUTTE REGIONAL AIRPORT,521,469,426,362,531,587,364,216,285,235,345
HIB,47.386583,-92.838972,HIBBING,MN,CHISHOLM-HIBBING AIRPORT,520,629,1018,658,618,1159,677,267,1144,264,133
GUP,35.511058,-108.789309,GALLUP,NM,GALLUP MUNICIPAL AIRPORT,512,602,613,608,610,611,887,962,609,614,622
HNM,20.795637,-156.014438,HANA,HI,HANA AIRPORT,510,228,0,0,0,183,19,29,711,165,123
CNM,32.337472,-104.263278,CARLSBAD,NM,CAVERN CITY AIR TERMINAL AIRPORT,507,614,671,975,1268,1458,988,1,1134,819,507
HOB,32.687528,-103.217028,HOBBS,NM,LEA COUNTY REGIONAL AIRPORT,502,582,593,298,386,455,724,16,622,565,208
MWH,47.208583,-119.319139,MOSES LAKE,WA,GRANT COUNTY INTERNATIONAL AIRPORT,494,646,629,627,893,1065,725,717,1365,1590,1082
AKK,56.938691,-154.182556,AKHIOK,AK,AKHIOK AIRPORT,493,437,648,621,694,681,673,620,697,635,531
LUK,39.103333,-84.418611,CINCINNATI,OH,CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD,491,28,40,96,49,22,20,33,19,17,28
KMO,58.932058,-158.901897,MANOKOTAK,AK,MANOKOTAK AIRPORT,484,710,877,851,1002,1018,1167,1137,1175,1113,1334
EKA,40.803389,-124.112792,EUREKA,CA,MURRAY FIELD AIRPORT,483,541,565,570,593,593,589,506,577,517,132
FOE,38.950944,-95.663611,TOPEKA,KS,FORBES FIELD AIRPORT,478,59,51,55,61,53,55,134,149,52,39
MEI,32.332624,-88.751868,MERIDIAN,MS,KEY FIELD AIRPORT,478,647,172,188,674,666,217,7,0,14,106
KNW,59.451538,-157.373164,NEW STUYAHOK,AK,NEW STUYAHOK AIRPORT,476,674,875,1066,873,921,1111,1239,1106,1307,1557
IGM,35.259472,-113.938056,KINGMAN,AZ,KINGMAN AIRPORT,473,783,506,260,439,619,178,93,10,35,89
DRT,29.374207,-100.927157,DEL RIO,TX,DEL RIO INTERNATIONAL AIRPORT,470,757,1103,644,684,1184,517,536,131,31,48
MCE,37.28475,-120.513917,MERCED,CA,MERCED REGIONAL//MACREADY FIELD,464,522,467,218,167,749,321,67,534,286,107
PIB,31.467139,-89.337056,HATTIESBURG/LAUREL,MS,HATTIESBURG-LAUREL REGIONAL AIRPORT,461,599,535,299,63,736,12,17,463,46,12
NNL,59.98023,-154.839175,NONDALTON,AK,NONDALTON AIRPORT,451,506,544,599,553,495,633,717,868,824,890
NNL,59.97904,-154.83969,NONDALTON,AK,NONDALTON AIRPORT,451,506,544,599,553,495,633,717,868,824,890
GLH,33.482881,-90.985614,GREENVILLE,MS,MID DELTA REGIONAL AIRPORT,448,253,509,70,68,720,60,29,484,12,96
CEZ,37.303,-108.628056,CORTEZ,CO,CORTEZ MUNICIPAL AIRPORT,447,5,169,55,173,142,59,40,10,13,17
MOD,37.625817,-120.954421,MODESTO,CA,MODESTO CITY-COUNTY-HARRY SHAM FIELD,442,6,10,15,12,0,5,7,5,1,1
PUB,38.289138,-104.496502,PUEBLO,CO,PUEBLO MEMORIAL AIRPORT,434,460,254,311,189,517,608,129,658,643,222
ONP,44.578863,-124.062116,NEWPORT,OR,NEWPORT MUNICIPAL AIRPORT,419,508,566,823,832,1178,613,140,0,0,0
CNY,38.754956,-109.754844,MOAB,UT,CANYONLANDS FIELD AIRPORT,418,877,938,628,832,817,671,85,578,450,99
FRG,40.728781,-73.413407,FARMINGDALE,NY,REPUBLIC AIRPORT,417,327,335,320,138,105,353,135,111,69,101
HUS,66.039083,-154.264694,HUGHES,AK,HUGHES AIRPORT,410,502,484,801,891,838,757,753,863,1034,1022
CHU,61.579056,-159.215639,CHUATHBALUK,AK,CHUATHBALUK AIRPORT,398,516,620,809,749,782,620,863,929,1369,1297
JMS,46.929722,-98.678194,JAMESTOWN,ND,JAMESTOWN REGIONAL AIRPORT,397,302,550,428,389,933,1020,657,606,595,611
PTK,42.665636,-83.420506,PONTIAC,MI,OAKLAND COUNTY INTERNATIONAL AIRPORT,389,370,537,470,462,393,938,1215,282,225,260
MSL,34.745306,-87.610222,MUSCLE SHOALS,AL,NORTHWEST ALABAMA REGIONAL AIRPORT,381,535,505,61,57,839,371,263,653,77,19
AHN,33.948595,-83.326347,ATHENS,GA,ATHENS/BEN EPPS AIRPORT,366,594,520,594,171,58,128,36,660,531,20
KGK,59.726642,-157.25947,KOLIGANEK,AK,KOLIGANEK AIRPORT,360,472,571,639,606,562,661,860,757,743,957
KGK,59.726902,-157.266877,KOLIGANEK,AK,KOLIGANEK AIRPORT,360,472,571,639,606,562,661,860,757,743,957
PTH,56.959101,-158.633362,PORT HEIDEN,AK,PORT HEIDEN AIRPORT,357,569,665,731,675,672,716,943,1138,1208,1373
PVU,40.219194,-111.723361,PROVO,UT,PROVO MUNICIPAL AIRPORT,352,226,388,215,22,17,8,18,18,17,11
HYS,38.842222,-99.273167,HAYS,KS,HAYS REGIONAL AIRPORT,351,515,582,360,245,792,989,785,1276,769,609
LKK,58.98208,-155.121272,KULIK LAKE,AK,KULIK LAKE AIRPORT,348,348,151,337,331,309,344,265,225,283,311
CIK,66.645022,-143.73993,CHALKYITSIK,AK,CHALKYITSIK AIRPORT,344,440,479,433,408,521,535,589,557,614,772
IWD,46.527475,-90.131397,IRONWOOD,MI,GOGEBIC-IRON COUNTY AIRPORT,338,613,427,578,268,653,462,58,661,53,4
CLP,58.833694,-158.529389,CLARKS POINT,AK,CLARKS POINT AIRPORT,324,436,438,528,420,402,466,563,605,842,758
IGG,59.324042,-155.901773,IGIUGIG,AK,IGIUGIG AIRPORT,319,373,386,407,422,466,522,553,608,697,681
MMU,40.79935,-74.414875,MORRISTOWN,NJ,MORRISTOWN MUNICIPAL AIRPORT,304,12,19,27,22,19,26,37,16,4,0
KYK,57.566086,-154.453883,KARLUK,AK,KARLUK AIRPORT,300,322,355,412,385,381,501,541,574,540,444
ENV,40.718694,-114.030889,WENDOVER,UT,WENDOVER AIRPORT,278,351,420,423,360,397,369,361,366,255,0
KEK,59.354806,-157.472083,EKWOK,AK,EKWOK AIRPORT,274,347,429,543,459,465,556,632,623,665,700
PIP,57.580381,-157.571957,PILOT POINT,AK,PILOT POINT AIRPORT,272,396,496,570,660,612,686,706,868,958,956
PIP,57.57846,-157.56873,PILOT POINT,AK,PILOT POINT AIRPORT,272,396,496,570,660,612,686,706,868,958,956
DVL,48.114583,-98.908333,DEVILS LAKE,ND,DEVILS LAKE REGIONAL AIRPORT,267,458,256,679,688,628,602,589,578,599,602
CVN,34.425139,-103.079278,CLOVIS,NM,CLOVIS MUNICIPAL AIRPORT,266,469,523,563,574,582,596,124,847,600,8
PTA,60.204333,-154.318873,PORT ALSWORTH,AK,PORT ALSWORTH AIRPORT,261,272,248,246,286,215,250,273,290,341,262
PTA,60.203051,-154.318657,PORT ALSWORTH,AK,PORT ALSWORTH AIRPORT,261,272,248,246,286,215,250,273,290,341,262
GKN,62.154944,-145.454333,GULKANA,AK,GULKANA AIRPORT,255,315,298,294,307,267,245,221,215,251,251
CDR,42.837556,-103.095389,CHADRON,NE,CHADRON MUNICIPAL AIRPORT,250,871,734,662,325,1198,704,193,605,616,24
EAA,64.778083,-141.149611,EAGLE,AK,EAGLE AIRPORT,249,272,294,339,350,408,338,423,497,593,692
GBD,38.34425,-98.859194,GREAT BEND,KS,GREAT BEND MUNICIPAL AIRPORT,241,530,595,621,569,889,1174,627,603,585,592
MBL,44.272472,-86.246889,MANISTEE,MI,MANISTEE COUNTY-BLACKER AIRPORT,241,0,244,494,102,661,359,98,610,501,8
KFP,54.847446,-163.410322,FALSE PASS,AK,FALSE PASS AIRPORT,234,245,255,290,295,362,374,308,282,294,274
MQY,36.008972,-86.520083,SMYRNA,TN,SMYRNA AIRPORT,229,177,292,99,87,25,11,40,39,27,44
KLL,59.128083,-156.858639,LEVELOCK,AK,LEVELOCK AIRPORT,226,286,328,343,409,443,587,824,699,785,871
MTH,24.726194,-81.051361,MARATHON,FL,THE FLORIDA KEYS MARATHON AIRPORT,224,269,268,267,277,284,304,489,256,512,279
PSM,43.077944,-70.823278,PORTSMOUTH,NH,PORTSMOUTH INTERNATIONAL AT PEASE AIRPORT,215,49,69,45,44,79,376,347,361,332,475
IYK,35.658741,-117.829533,INYOKERN,CA,INYOKERN AIRPORT,214,657,565,252,251,545,259,256,256,263,262
AIA,42.053222,-102.803778,ALLIANCE,NE,ALLIANCE MUNICIPAL AIRPORT,212,605,817,928,789,743,817,572,949,926,356
PAE,47.906987,-122.281572,EVERETT,WA,SNOHOMISH COUNTY (PAINE FIELD) AIRPORT,203,147,127,88,99,89,76,46,5,6,7
KPV,55.906667,-159.160833,PERRYVILLE,AK,PERRYVILLE AIRPORT,197,294,255,278,254,253,340,361,373,405,437
KCL,56.311047,-158.534267,CHIGNIK LAGOON,AK,CHIGNIK LAGOON AIRPORT,196,333,399,435,454,466,475,509,548,553,584
GYY,41.616278,-87.412778,GARY,IN,GARY/CHICAGO INTERNATIONAL AIRPORT,196,161,212,80,69,44,69,238,60,350,457
PML,56.005986,-160.560792,COLD BAY,AK,PORT MOLLER AIRPORT,195,169,215,244,256,302,297,302,291,311,277
JQF,35.387775,-80.709136,CONCORD,NC,CONCORD REGIONAL AIRPORT,194,143,146,160,407,308,202,123,3,10,0
KCQ,56.255583,-158.775804,CHIGNIK LAKE,AK,CHIGNIK LAKE AIRPORT,188,324,358,518,539,556,591,765,808,840,850
MEO,35.917406,-75.700133,MANTEO,NC,DARE COUNTY REGIONAL AIRPORT,183,228,229,251,251,253,253,40,1,0,0
IAB,37.630446,-97.26064,WICHITA,KS,MC CONNELL AIR FORCE BASE,182,120,76,46,24,20,41,9,3,0,0
RDV,61.788076,-157.350309,RED DEVIL,AK,RED DEVIL AIRPORT,153,244,294,313,361,368,452,630,684,844,842
RMP,65.5079,-150.14083,RAMPART,AK,RAMPART AIRPORT,147,198,234,196,223,175,220,229,252,314,369
MCK,40.206278,-100.592083,MC COOK,NE,MC COOK BEN NELSON REGIONAL AIRPORT,143,849,950,884,897,1109,890,61,225,68,70
BED,42.469953,-71.28903,BEDFORD,MA,LAURENCE G HANSCOM FIELD AIRPORT,129,156,503,519,156,156,229,776,494,358,214
PAQ,61.600622,-149.091733,PALMER,AK,PALMER MUNICIPAL AIRPORT,101,7,9,3,50,41,13,30,30,31,21
IKO,52.941556,-168.849028,NIKOLSKI,AK,NIKOLSKI AS AIRPORT,99,88,54,94,88,111,108,122,122,157,157
ADK,51.877964,-176.646031,ADAK ISLAND,AK,ADAK AIRPORT,93,107,109,99,110,110,100,118,111,105,110
ADS,32.968559,-96.836448,DALLAS,TX,ADDISON AIRPORT,90,39,47,40,56,43,27,59,35,36,52
BLV,38.545167,-89.835194,BELLEVILLE,IL,SCOTT AIR FORCE BASE/MIDAMERICA AIRPORT,76,97,17,4,38,56,208,241,225,238,50
NCN,60.077306,-147.99189,CHENEGA,AK,CHENEGA BAY AIRPORT,66,85,111,102,109,104,64,123,148,156,164
FBK,64.837615,-147.614489,FAIRBANKS/FT WAINWRIGHT,AK,LADD ARMY AIRFIELD,64,140,149,74,228,191,110,228,157,380,440
MKC,39.123169,-94.592758,KANSAS CITY,MO,CHARLES B. WHEELER DOWNTOWN AIRPORT,63,47,55,57,33,63,55,39,6,4,13
CGF,41.565111,-81.486361,CLEVELAND,OH,CUYAHOGA COUNTY AIRPORT,52,15,1,0,2,0,2,3,1,0,0
FOD,42.551194,-94.191833,FORT DODGE,IA,FORT DODGE REGIONAL AIRPORT,52,161,425,136,94,166,22,29,14,28,19
NGU,36.937462,-76.289263,NORFOLK,VA,NORFOLK NS (CHAMBERS FIELD) AIRPORT,47,9,27,7,31,81,120,78,71,131,176
LAF,40.412306,-86.936889,LAFAYETTE,IN,PURDUE UNIVERSITY AIRPORT,46,47,49,47,42,39,48,60,25,28,46
BTL,42.307278,-85.25148,BATTLE CREEK,MI,W K KELLOGG AIRPORT,44,2,19,6,14,8,9,23,16,12,25
MCW,43.157792,-93.331261,MASON CITY,IA,MASON CITY MUNICIPAL AIRPORT,43,113,329,249,34,142,1,2,1,1,2
ISO,35.331444,-77.608833,KINSTON,NC,KINSTON REGIONAL JETPORT AT STALLINGS FIELD,40,42,88,107,109,99,121,171,351,67,59
HTO,40.959417,-72.251667,EAST HAMPTON,NY,EAST HAMPTON AIRPORT,38,34,25,40,23,17,35,27,6,1,0
BMG,39.146021,-86.61668,BLOOMINGTON,IN,MONROE COUNTY AIRPORT,31,31,37,46,35,29,28,24,18,24,29
RME,43.233806,-75.407028,ROME,NY,GRIFFISS INTERNATIONAL AIRPORT,31,49,21,29,20,34,35,37,3,5,5
CPS,38.570724,-90.156221,CAHOKIA/ST LOUIS,IL,ST LOUIS DOWNTOWN AIRPORT,31,32,7,3,11,7,42,0,0,1,1
OXC,41.478556,-73.13525,OXFORD,CT,WATERBURY-OXFORD AIRPORT,29,45,17,32,33,24,44,31,15,1,0
BKL,41.5175,-81.683333,CLEVELAND,OH,BURKE LAKEFRONT AIRPORT,29,24,44,34,43,27,45,44,38,36,30
OCF,29.171877,-82.224115,OCALA,FL,OCALA INTERNATIONAL-JIM TAYLOR FIELD,28,17,27,32,24,27,196,100,24,26,37
BWG,36.964528,-86.419667,BOWLING GREEN,KY,BOWLING GREEN-WARREN COUNTY REGIONAL AIRPORT,26,132,75,93,19,11,16,14,349,500,186
PPC,66.814056,-150.643611,PROSPECT CREEK,AK,PROSPECT CREEK AIRPORT,26,38,32,31,30,28,32,25,33,31,34
ANB,33.588167,-85.858111,ANNISTON,AL,ANNISTON METROPOLITAN AIRPORT,25,18,22,6,19,19,12,14,6,16,7
GBH,68.479667,-149.489917,GALBRAITH LAKE,AK,GALBRAITH LAKE AIRPORT,25,31,35,38,49,64,63,65,62,64,38
BAF,42.157731,-72.71562,WESTFIELD/SPRINGFIELD,MA,BARNES MUNICIPAL AIRPORT,23,8,7,7,10,5,9,2,3,0,0
OPF,25.907,-80.278389,MIAMI,FL,OPA- LOCKA EXECUTIVE AIRPORT,22,20,39,20,37,73,147,64,96,38,58
BDR,41.163472,-73.126167,BRIDGEPORT,CT,IGOR I SIKORSKY MEMORIAL AIRPORT,20,26,31,10,0,51,164,206,251,166,96
FOK,40.843655,-72.631789,WESTHAMPTON BEACH,NY,FRANCIS S GABRESKI AIRPORT,18,21,18,13,4,12,6,13,5,2,2
EDF,61.251347,-149.806514,ANCHORAGE,AK,ELMENDORF AIR FORCE BASE,17,13,41,122,119,6,17,3,30,29,54
DOV,39.1295,-75.466,DOVER,DE,DOVER AIR FORCE BASE,16,27,41,84,70,147,105,80,42,43,38
APA,39.570111,-104.849306,DENVER,CO,CENTENNIAL AIRPORT,16,8,10,12,7,13,4,9,6,1,0
EFD,29.607333,-95.15875,HOUSTON,TX,ELLINGTON FIELD AIRPORT,16,22,11,32,31,38,57,67,95,66,319
CEF,42.194014,-72.534783,SPRINGFIELD/CHICOPEE,MA,WESTOVER ARB/METROPOLITAN AIRPORT,16,29,22,29,25,25,125,185,27,2,3
FNL,40.451827,-105.011336,FORT COLLINS/LOVELAND,CO,FORT COLLINS-LOVELAND MUNICIPAL AIRPORT,15,44,264,342,275,244,240,228,280,299,274
CON,43.202722,-71.502278,CONCORD,NH,CONCORD MUNICIPAL AIRPORT,14,41,13,0,2,0,0,0,0,0,0
PWK,42.11429,-87.901538,CHICAGO/PROSPECT HEIGHTS/WHEELING,IL,CHICAGO EXECUTIVE AIRPORT,13,2,1,4,4,5,9,15,23,13,13
NIP,30.233857,-81.674965,JACKSONVILLE,FL,JACKSONVILLE NAVAL AIR STATION (TOWERS FIELD),13,1,3,2,8,47,48,23,29,62,88
DPA,41.906944,-88.248203,CHICAGO/WEST CHICAGO,IL,DUPAGE AIRPORT,12,17,10,16,15,3,3,32,59,38,77
NTD,34.119272,-119.119578,POINT MUGU,CA,POINT MUGU NAVAL AIR STATION (NAVAL BASE VENTURA COUNTY),12,4,2,2,1,2,2,5,10,8,2
GUS,40.648094,-86.152119,PERU,IN,GRISSOM AIR RESERVE BASE,11,11,0,0,1,30,35,0,0,0,0
APC,38.213194,-122.280694,NAPA,CA,NAPA COUNTY AIRPORT,11,13,8,10,12,4,2,2,1,1,0
A63,59.074525,-160.275042,TWIN HILLS,AK,TWIN HILLS AIRPORT,11,3,5,4,0,0,10,7,4,1,0
FYV,36.005095,-94.170057,FAYETTEVILLE,AR,DRAKE FIELD AIRPORT,11,15,24,30,41,35,38,42,14,16,12
INT,36.133722,-80.222,WINSTON SALEM,NC,SMITH REYNOLDS AIRPORT,10,25,52,26,61,171,213,156,90,223,355
RDG,40.3785,-75.96525,READING,PA,READING REGIONAL/CARL A SPAATZ FIELD,10,10,16,18,19,16,18,18,19,19,54
FTW,32.819778,-97.362444,FORT WORTH,TX,FORT WORTH MEACHAM INTERNATIONAL AIRPORT,9,3,4,7,12,9,10,33,15,9,31
LAL,27.988917,-82.018556,LAKELAND,FL,LAKELAND LINDER REGIONAL AIRPORT,8,9,165,240,12,1,1,2,0,0,0
LEW,44.048473,-70.283507,AUBURN/LEWISTON,ME,AUBURN/LEWISTON MUNICIPAL AIRPORT,8,10,5,1,1,2,0,1,1,0,1
AGC,40.354401,-79.930169,PITTSBURGH,PA,ALLEGHENY COUNTY AIRPORT,8,8,5,11,2,2,2,7,0,2,1
PNE,40.081944,-75.010583,PHILADELPHIA,PA,NORTHEAST PHILADELPHIA AIRPORT,8,6,6,2,3,2,16,6,1,2,4
BLM,40.186778,-74.124583,BELMAR/FARMINGDALE,NJ,MONMOUTH EXECUTIVE AIRPORT,8,5,4,4,3,46,15,13,0,0,1
BIF,31.8495,-106.38,FORT BLISS/EL PASO/,TX,BIGGS ARMY AIRFIELD (FORT BLISS),8,11,29,25,35,33,25,64,44,71,57
RIV,33.881941,-117.259015,RIVERSIDE,CA,MARCH AIR RESERVE BASE,8,24,7,14,35,42,1261,1514,1694,387,38
ORL,28.545464,-81.332937,ORLANDO,FL,EXECUTIVE AIRPORT,7,4,3,5,6,2,3,1,6,0,1
LGU,41.791222,-111.851583,LOGAN,UT,LOGAN-CACHE AIRPORT,7,9,9,8,8,12,12,159,88,0,0
GLR,45.013639,-84.703583,GAYLORD,MI,GAYLORD REGIONAL AIRPORT,7,15,15,14,12,2,254,154,1,0,2
ADW,38.810833,-76.867,CAMP SPRINGS,MD,ANDREWS AIR FORCE BASE,7,17,58,46,59,72,38,29,78,62,70
GON,41.330056,-72.045139,GROTON (NEW LONDON),CT,GROTON-NEW LONDON AIRPORT,6,8,6,5,4,1,2,1,4,0,12
MHM,63.885997,-152.301874,MINCHUMINA,AK,MINCHUMINA AIRPORT,6,58,12,10,46,65,78,64,58,32,15
MIE,40.242472,-85.39575,MUNCIE,IN,DELAWARE COUNTY REGIONAL AIRPORT,6,6,5,6,5,9,6,14,2,11,7
LCI,43.573042,-71.417842,LACONIA,NH,LACONIA MUNICIPAL AIRPORT,6,8,2,1,0,1,0,3,0,1,1
HUF,39.451472,-87.307583,TERRE HAUTE,IN,TERRE HAUTE INTERNATIONAL-HULMAN FIELD,6,36,15,17,12,11,10,20,11,8,24
